title,artist,id,snippet_path,proof_snippet,tags
Wild Mountain Thyme / Farewell to Tarwathie,acapella,wild-mountain-thyme-farewell-to-tarwathie,audio/funerals/wild-mountain-thyme-farewell-to-tarwathie-30.mp3,no,Funerals; Memorial
Wonderful Tonight,Eric Clapton,wonderful-tonight,audio/contemporary/wonderful-tonight-30.mp3,no,Contemporary; Electric guitar; Backing tracks; Voice
Wonderwall,Oasis,wonderwall,audio/contemporary/wonderwall-30.mp3,no,Contemporary; Electric guitar; Backing tracks; Voice
You and Me,Lifehouse,you-and-me,audio/weddings/you-and-me-30.mp3,no,Weddings; Canapés; Romantic
You Give Love a Bad Name,Bon Jovi,you-give-love-a-bad-name,audio/contemporary/you-give-love-a-bad-name-30.mp3,no,Contemporary; Electric guitar; Backing tracks; Voice
You Make Me Feel So Young,,you-make-me-feel-so-young,audio/lounge-standards/you-make-me-feel-so-young-30.mp3,yes,Lounge; Standards; Backing tracks; Vocal
You Raise Me Up,,you-raise-me-up,audio/funerals/you-raise-me-up-30.mp3,no,Funerals; Memorial
Your Song,,your-song,audio/weddings/your-song-30.mp3,yes,Weddings; Ceremony
You’re the Voice,John Farnham,youre-the-voice,audio/contemporary/youre-the-voice-30.mp3,no,Contemporary; Acoustic guitar
Zombie,The Cranberries,zombie,audio/contemporary/zombie-30.mp3,no,Contemporary; Acoustic guitar; Voice
